ms,ax,ay,az,gx,gy,gz,roll_x100,pitch_x100
4787, 505, -286, 3447, -7, -191, 177, -120, -61
4797, 506, -225, 3472, 226, -128, 145, -107, -71
4807, 544, -131, 3577, 399, -72, 145, -82, -77
4817, 574, -136, 3480, 178, -24, 153, -70, -82
4827, 565, 156, 3534, 91, -54, 122, -56, -88
4837, 473, 97, 3568, 74, -30, 50, -46, -91
4847, 390, -77, 3282, -17, -24, -7, -45, -90
4857, 370, -240, 3289, 45, -43, 7, -45, -91
4867, 376, -269, 3232, 13, -81, 26, -48, -93
4877, 428, -337, 3326, -71, -105, 69, -58, -99
4887, 461, -353, 3364, -70, -82, 73, -68, -104
4897, 456, -196, 3379, -151, -79, 100, -78, -108
4907, 496, -130, 3403, -55, -79, 100, -80, -114
4917, 478, -132, 3354, -61, -68, 118, -83, -118
4927, 498, -142, 3372, -88, -65, 118, -88, -123
4937, 481, -245, 3330, 24, -57, 107, -89, -126
4947, 459, -258, 3258, -21, -107, 100, -92, -132
4957, 549, -332, 3345, 8, -104, 119, -96, -140
4967, 535, -363, 3439, 153, -94, 135, -92, -147
4977, 532, -345, 3417, 168, -107, 155, -86, -154
4987, 619, -250, 3451, 99, -47, 158, -82, -160
4997, 554, -156, 3449, 74, -37, 124, -78, -163
5007, 550, -238, 3345, -90, -3, 132, -85, -165
5017, 529, -70, 3376, 26, -14, 111, -81, -166
5027, 462, -81, 3412, 120, -16, 68, -72, -165
5037, 486, -84, 3421, 140, -8, 45, -61, -165
5047, 396, -169, 3437, 184, -3, 112, -50, -162
5057, 509, -172, 3377, 132, -8, 68, -43, -163
5067, 344, -301, 3280, 112, -3, 216, -41, -158
5077, 540, -284, 3341, 25, 18, 244, -43, -158
5087, 549, -259, 3338, 61, -3, 207, -43, -159
5097, 592, -144, 3343, -67, -13, 112, -47, -163
